Model,RMSE,MAE,R2,MAPE (%)
Linear Regression,11.107283026047167,8.173635495213968,0.9675231180132482,30.52960730374003
Decision Tree,5.358420165185506,3.4513333333333334,0.9924415598302839,4.928972062592233
Random Forest,2.7468029355355417,1.7391500000000002,0.9980138426294772,2.7979135017382544
XGBoost,2.1379982886994124,1.474822603331258,0.9987967015506009,2.7831773876165946
